title,description,minutes,languages,thumb ,trailer,release_date
City Hunter,"Per Ryo è un nuovo record ben quarantotto giorni senza nemmeno una richiesta di lavoro. In compenso, tuttavia, il lavoro non manca a Saeko, membro del Dipartimento di Polizia di Tokyo.",102,It,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ1fOBd5MhGVViEl8mqLPJ1bXFUrrcD7jY1WjUN0bv0wnzEw2GR,https://www.youtube.com/watch?v=4PcxAd3HsxQ&pp=ygUTY2l0eSBodW50ZXIgdHJhaWxlcg%3D%3D,2009/06/09
XXX,"Xander Cage, giovane specializzato in sport estremi, viene reclutato dal governo americano per una missione speciale: raccogliere informazioni riguardo un'organizzazione che progetta la distruzione del mondo.",124,en,https://i.ebayimg.com/images/g/luMAAOSw9ptcWdEC/s-l1200.jpg,https://www.youtube.com/watch?v=jAK7CQ_5QVU,2004/02/04
Balle spaziali,"Una guerra fra due pianeti scoppia a causa della scarsità di aria respirabile, la prima a pagarne le conseguenze è la bella principessa Vespa.",96,It,https://www.ibs.it/images/8010312028410_0_464_0_75.jpg,https://www.youtube.com/watch?v=ej5buFFGkVI,2005/02/03
Guida galattica per autostoppisti,"Arthur Dent sta cercando di impedire che la propria casa venga abbattuta, quando il suo amico Ford Prefect lo trascina nello spazio profondo per salvarlo dalla distruzione totale della Terra.",109,it,https://www.ondamusicale.it/wp-content/uploads/2021/06/Guida_galattica_per_autostoppisti.jpg,https://www.youtube.com/watch?v=P2W_9g0Rec4,2003/01/03
Sette anime,"Un uomo con un segreto difficile deve redimere se stesso cambiando la vita di sette sconosciuti, inclusa la donna di cui si è innamorato.",123,en,https://pad.mymovies.it/filmclub/2008/09/138/locandina.jpg,https://www.youtube.com/watch?v=gFTK1bAhBz8,2009/01/09
The tourist,"Frank è emotivamente a pezzi: per curare il suo cuore addolorato decide di fare un viaggio in Italia. Alla stazione conosce Elisa, una donna straordinaria, ma sorvegliata da Scotland Yard perchè ex amante di Alexander Pearce, ricercato dal governo per una colossale evasione fiscale. L'incontro tra i due, perchè è tutt'altro che casuale, e, sperando di essere travolto dalla passione, l'uomo si trova coinvolto in una spirale di intrighi e pericoli.",103,it,https://m.media-amazon.com/images/S/pv-target-images/3fb1b1054851b2ea5b62b078ec11865265966cbd8186ea56a831fe373cd9cd0a.jpg,https://www.youtube.com/watch?v=RaevzewXRnw,2004/12/17
